Date,Open,High,Low,Close,Adj Close,Volume
2019-02-06,1670.750000,1672.260010,1633.339966,1640.260010,1640.260010,3939900
2019-02-07,1625.000000,1625.540039,1592.910034,1614.369995,1614.369995,4626600
2019-02-08,1586.000000,1588.589966,1566.760010,1588.219971,1588.219971,5657500
2019-02-11,1600.979980,1609.290039,1586.000000,1591.000000,1591.000000,3317300
2019-02-12,1604.000000,1639.400024,1598.880005,1638.010010,1638.010010,4858600
2019-02-13,1647.000000,1656.380005,1637.109985,1640.000000,1640.000000,3560300
2019-02-14,1624.500000,1637.900024,1606.060059,1622.650024,1622.650024,4120500
2019-02-15,1627.859985,1628.910034,1604.500000,1607.949951,1607.949951,4343900
2019-02-19,1601.000000,1634.000000,1600.560059,1627.579956,1627.579956,3681700
2019-02-20,1630.000000,1634.930054,1610.119995,1622.099976,1622.099976,3337600
2019-02-21,1619.849976,1623.560059,1600.910034,1619.439941,1619.439941,3483400
2019-02-22,1623.500000,1634.939941,1621.170044,1631.560059,1631.560059,3096200
2019-02-25,1641.449951,1654.599976,1630.390015,1633.000000,1633.000000,3184500
2019-02-26,1625.979980,1639.989990,1616.130005,1636.400024,1636.400024,2665800
2019-02-27,1628.180054,1641.810059,1615.099976,1641.089966,1641.089966,3148800
2019-02-28,1635.250000,1651.770020,1633.829956,1639.829956,1639.829956,3025900
2019-03-01,1655.130005,1674.260010,1651.000000,1671.729980,1671.729980,4974900
2019-03-04,1685.000000,1709.430054,1674.359985,1696.170044,1696.170044,6167400
2019-03-05,1702.949951,1707.800049,1689.010010,1692.430054,1692.430054,3681500
2019-03-06,1695.969971,1697.750000,1668.280029,1668.949951,1668.949951,3996000
2019-03-07,1667.369995,1669.750000,1620.510010,1625.949951,1625.949951,4957000
2019-03-08,1604.010010,1622.719971,1586.569946,1620.800049,1620.800049,4667000
2019-03-11,1626.119995,1672.290039,1626.010010,1670.619995,1670.619995,3876400
2019-03-12,1669.000000,1684.270020,1660.979980,1673.099976,1673.099976,3614500
2019-03-13,1683.000000,1700.000000,1679.349976,1690.810059,1690.810059,3552000
2019-03-14,1691.199951,1702.000000,1684.339966,1686.219971,1686.219971,2946600
2019-03-15,1703.000000,1718.800049,1693.130005,1712.359985,1712.359985,7550900
2019-03-18,1712.699951,1750.000000,1712.630005,1742.150024,1742.150024,5429100
